idiom_id_lang;idiom_id;idiom_string;CQL;List_most_common (1 = yes, 0 = no);nr_languages_found;language;domain_id;domain_name;superdomain;subdomain;idiom_frequency;idiom_frequency_per_mill;corpus_size;idiom_syntactic_type;source_volume;description_english;comment 
a16fr;a16;le moindre mal;"[tag=""DET.*""] [lemma_lc=""moindre""] [lemma_lc=""mal""]";1;49;fr;a;ancient_sources;intertextuality;proverbial_phrases_antiquity;7615;0.67;11444973582;noun_idiom;Vol_I;"‘the somewhat less unpleasant of two poor choices; the option with the smaller disadvantage’";"""un moindre mal"" is most freuquent with 4,040, would not have been considered if only ""le"" had been taken "
a17fr;a17;les dés sont jetés / le dé en est jeté;"[tag=""DET.*""] [lemma_lc=""dé""] [lemma_lc=""en""]? [lemma_lc=""être""] [lemma_lc=""jeter""]";1;49;fr;a;ancient_sources;intertextuality;proverbial_phrases_antiquity;2070;0.18;11444973582;sentence_idiom;Vol_I;"‘an important decision about the future has been made or something important has happened, and there is no turning back; an irrevocable step has been taken’";
a20fr;a20;jeter/mettre de l’huile sur le feu;" [lemma_lc=""de""] [tag=""DET.*""] [lemma_lc=""huile""] [lemma_lc=""sur""] [tag=""DET.*""] [lemma_lc=""feu""] context [lemma=""mettre""] (-5..5,-KWIC)";1;59;fr;a;ancient_sources;intertextuality;proverbial_phrases_antiquity;1916;0.17;11444973582;verb_idiom;Vol_I;‘to make a difficult situation even worse, exaggerating a conflict, to aggravate someone’s rage’;
b03fr;b03;à la sueur de son front;"[lemma_lc=""à""] [tag=""DET.*""] [lemma_lc=""sueur""] [lemma_lc=""de""] [tag=""DET:POS"" | tag=""(NOM|NAM)""] [lemma_lc=""front""]";1;59;fr;b;bible ;intertextuality;old_testament;2813;0.25;11444973582;adverbial_idiom;Vol_I;"‘by very hard work, either physical or mental; very toilsome; with the greatest effort’";
b08fr;b08;le mouton noir de la famille;" [tag=""DET.*""] [lemma_lc=""mouton""] [lemma_lc=""noir""] [lemma_lc=""de""]? [lemma_lc=""le""]? [lemma_lc=""famille""]? Hide sub-hits ";1;49;fr;b;bible ;intertextuality;old_testament;2180;0.19;11444973582;noun_idiom;Vol_I;"‘an odd or disreputable member of a group; someone who is very different from the rest of his/her family, group or society and considered worthless by them because s/he is less successful or more contemptible than the rest’";
b20fr;b20;s’en laver les mains;"[lemma_lc=""se""] [lemma_lc=""en""] [lemma_lc=""laver""] [tag=""DET.*""] [lemma_lc=""main""]";1;54;fr;b;bible ;intertextuality;old_and_new_testament;1200;0.1;11444973582;verb_idiom;Vol_I;"to absolve oneself from responsibility; to declare that one no longer wishes to be involved in a matter and will therefore not be implicated in the outcome of events; to refuse to take any further part in an endeavor’";
b23fr;b23;prendre qqn. sous son aile;"[lemma_lc=""sous""] [tag=""DET:POS"" | tag=""(NOM|NAM)""] [lemma_lc=""aile""] context [lemma=""prendre""] (-5..5,-KWIC)";1;62;fr;b;bible ;intertextuality;old_and_new_testament;9258;0.81;11444973582;verb_idiom;Vol_I;"‘to help and protect someone, especially someone who is younger or less experienced; to provide someone with friendly encouragement or protection’";
b29fr;b29;séparer le bon grain de l’ivraie;"[tag=""DET.*""] [lemma_lc=""bon""] [lemma_lc=""grain""] [lemma_lc=""de""] [tag=""DET.*""] [lemma_lc=""ivraie""] context [lemma=""séparer""] (-5..5,-KWIC)";1;52;fr;b;bible ;intertextuality;new_testament;1210;0.11;11444973582;verb_idiom;Vol_I;‘to decide which things or people in a group are good or necessary, and which are not, to distinguish valuable from worthless’;
b34fr;b34;bâtir sur le/sur du sable;"[lemma_lc=""sur""] [lemma_lc=""du|le""]? [lemma_lc=""sable""] context [lemma=""bâtir""] (-5..5,-KWIC)";1;52;fr;b;bible ;intertextuality;new_testament;620;0.05;11444973582;verb_idiom;Vol_I;‘to have no secure foundation and therefore to be likely to collapse or come to an end’;
c14fr;c14;s’arracher les cheveux;"[lemma_lc=""arracher""] [tag=""DET.*""] [lc=""cheveux""] context [lemma=""se""] (-5..5,-KWIC)";1;62;fr;c;ancient_sources;intertextuality;ancient_textual_sources_and_other_sources;4621;0.4;11444973582;verb_idiom;Vol_I;"‘to be unbearably frustrated or worried about something; to show extreme desperation, to be in deep despair; to be horrified’";
c25fr;c25;jour et nuit;"[lc=""jour""] [lc=""et""] [lc=""nuit""]";1;69;fr;c;ancient_sources;intertextuality;ancient_textual_sources_and_other_sources;33873;2.96;11444973582;adverbial_idiom;Vol_I;"‘all the time; around the clock, continually, perpetually’";merged columns
c26fr;c26;de la tête aux pieds;"([lemma_lc=""de""] [lemma_lc=""le""] [lemma_lc=""tête""] [lc=""aux""] [lemma_lc=""pied""] ) | ([lc=""des""] [lemma_lc=""pied""] [lemma_lc=""à""] [lemma_lc=""le""] [lemma_lc=""tête""] )";1;62;fr;c;ancient_sources;intertextuality;ancient_textual_sources_and_other_sources;14501;1.27;11444973582;adverbial_idiom;Vol_I;"‘1. from top to bottom; the whole of someone’s body; 2. completely, totally; through and through’";"added ""des pieds à la tete"" since it is more frequent. "
e03fr;e03;prendre le taureau par les cornes;"[tag=""DET.*""] [lemma_lc=""taureau""] [lemma_lc=""par""] [tag=""DET.*"" | tag=""PRO.*""]? [lemma_lc=""corne""] context [lemma=""prendre""] (-5..5,-KWIC)";1;55;fr;e;proverbs;intertextuality;medieval_proverb_collections;3541;0.31;11444973582;verb_idiom;Vol_I;"‘to deal fearlessly with a problem; to act decisively and with determination in order to deal with a difficult situation’";
e05fr;e05;acheter chat en poche/acheter le chat en sac;"[tag=""DET.*""]? [lemma_lc=""chat""] [lemma_lc=""en""] [lemma_lc=""poche|sac""] context [lemma=""acheter""] (-5..5,-KWIC)";1;48;fr;e;proverbs;intertextuality;medieval_proverb_collections;62;0.01;11444973582;verb_idiom;Vol_I;"‘to buy or accept something without inspecting or thinking about it carefully first; with the result that one gets something that one does not want; to make an uninformed decision’";
e09fr;e09;donner (TAPER) de la tête contre un mur;"[lemma_lc=""de""]? [tag=""DET.*"" | tag=""PRO.*""]? [lemma_lc=""tête""] [lemma_lc=""contre""] [tag=""DET.*""] [lemma_lc=""mur""] context [lemma=""donner|taper""] (-5..5,-KWIC) Hide sub-hits";1;50;fr;e;proverbs;intertextuality;medieval_proverb_illustrations ;1247;0.11;11444973582;verb_idiom;Vol_I;"‘to waste one’s time and energy attempting the impossible and get
frustrated by doing so; to make fruitless endeavors in a hopeless enterprise (even using force)’";
e10fr;e10;(être)armé jusqu’aux dents;"[lemma_lc=""jusque""] [tag=""PRP:det""] [lemma_lc=""dent""] context [lemma=""armer""] (-5..5,-KWIC)";1;46;fr;e;proverbs;intertextuality;medieval_proverb_illustrations ;4667;0.41;11444973582;verb_idiom;Vol_I;"‘to possess a lot of weapons or any effective weapon; to be overly well equipped or prepared’";
e17fr;e17;entrer par une oreille et sortir par l’autre,;"[lemma_lc=""entrer""] [lemma=""par""] [lemma=""un""] [lemma=""oreille""]";1;48;fr;e;proverbs;intertextuality;medieval_literary_texts;163;0.01;11444973582;verb_idiom;Vol_I;"‘(of advice, instructions, etc.) to be heard without making any lasting impression on the listener; to be utterly ignored and unheeded, not to be taken note of intentionally’";
e21fr;e21;jouer avec le feu;"[lemma_lc=""avec""] [tag=""DET.*""] [lemma_lc=""feu""] context [lemma=""jouer""] (-5..5,-KWIC)";1;64;fr;e;proverbs;intertextuality;medieval_literary_texts;8322;0.73;11444973582;verb_idiom;Vol_I;‘to take needless risks in a situation that one knows is dangerous, to meddle with something that is potentially dangerous or harmful’;
f05fr;f05; l’antre/la caverne/gueule du lion;"[lemma_lc=""antre"" | lemma_lc=""caverne"" | lemma_lc=""gueule""] [lc=""du""] [lemma_lc=""lion"" | lemma_lc=""loup""]";0;NA;fr;f;fables_folk_narratives;intertextuality;aesopic_types ;4317;0.38;11444973582;verb_idiom;Vol_I;"‘to expose oneself to great danger by entering an opponent’s territory; to go and see someone who has power or authority over you and tell them what you want or why you disagree with them’";"only use noun idiom ""lion's den"" The verb can be varies and otherwise frequency in English is less 0.01."
f08fr;f08;pêcher en eau trouble;"[lemma=""en""] [lemma_lc=""eau""] [lemma_lc=""trouble""] context [lemma=""pêcher""] (-5..5,-KWIC)";1;51;fr;f;fables_folk_narratives;intertextuality;aesopic_types ;218;0.02;11444973582;verb_idiom;Vol_I;‘to try to take advantage of a confused situation, to make capital out of someone else’s misfortune using dubious methods’;
f14fr;f14;(chercher) une aiguille dans une botte de foin;"[tag=""DET.*""] [lemma_lc=""aiguille""] [lemma_lc=""dans""] [tag=""DET.*""] [lemma_lc=""botte""] [lemma_lc=""de""] [lemma_lc=""foin""] context [lemma=""chercher""] (-5..5,-KWIC)";1;60;fr;f;fables_folk_narratives;intertextuality;jests_and_comical tales;642;0.06;11444973582;verb_idiom;Vol_I;"‘to try to find something very small that is lost among many other
things; to look for something that is impossible to find; to be bothered with searching without any prospect of success’";
f24fr;f24;être/se battre comme chien et chat;"[lemma_lc=""comme""] [lemma_lc=""chien""] [lemma_lc=""et""] [lemma=""chat""] context [lemma=""être|battre""] (-2..2,-KWIC)";1;68;fr;f;fables_folk_narratives;intertextuality;animal_tales;244;0.02;11444973582;verb_idiom;Vol_I;"‘(of two people who know each other well) to frequently have violent
arguments with each other, to keep quarrelling and get very angry with each other most of the time’";For F take 2 from each source (Animal tales, aesopic fables, jests) leave out fairy tales because they are not used in many languages French not very common  
f25fr;f25;jouer au chat et à la souris avec qqn. / jouer comme le chat avec la souris;"[lemma_lc=""comme""]? [lc=""le|au""] [lemma_lc=""chat""] [lemma_lc=""et|avec""] [lemma_lc=""à""]? [lemma_lc=""le""] [lemma_lc=""souris""] context [lemma_lc=""jouer""] (-5..5,-KWIC) Hide sub-hits ";1;54;fr;f;fables_folk_narratives;intertextuality;animal_tales;2257;0.2;11444973582;verb_idiom;Vol_I;"‘to stall someone off, letting him/her wait for a (negative) decision; to alternate harshness and leniency in one’s treatment of a helpless victim; to manipulate an opponent in a way alternately designed to provoke and spoil him’";leave out avec
f27fr;f27;des larmes de crocodile;"[tag=""DET.*"" | lc=""des""] [lemma_lc=""larme""] [lemma_lc=""de""] [lemma_lc=""crocodile""]";1;55;fr;f;fables_folk_narratives;intertextuality;animal_tales;1760;0.15;11444973582;verb_idiom;Vol_I;"‘to show false or pretended sadness, to display insincere grief; to pretend that one is weeping’";"leave out ""weep"" since crocodile tear in itself are idiomatic and in some languages the notion of ""weep "" is not included. The distribution of frequencies was similar "
i01fr;i01;noir sur blanc;"[lc=""noir"" & tag=""ADJ""] [lemma_lc=""sur""] [lc=""blanc"" & tag=""ADJ""]";1;61;fr;i;intellectual_technical_achievements;culture;writing_reading;7514;0.66;11444973582;adverbial_idiom;Vol_II;"‘1. reduced to writing; written down or in print, and therefore official; written proof of something; 2. written down or in print, and therefore very clear, in a comprehensive manner’";"word_lc because of different inflections in ""blanc""(blanche)"
i03fr;i03;lire entre les lignes;"[lemma_lc=""entre""] [lemma_lc=""le""] [lemma_lc=""ligne""] context [lemma=""lire""] (-5..5,-KWIC)";1;58;fr;i;intellectual_technical_achievements;culture;writing_reading;6354;0.56;11444973582;verb_idiom;Vol_II;"‘to understand or deduce the real meaning of something; to perceive a hidden message or additional information, even though it is not stated explicitly’";
i05fr;i05;on peut les compter sur les doigts d’une main;"[lemma_lc=""sur""] [lemma_lc=""le""] [lemma_lc=""doigt""] [lemma_lc=""de""] [tag=""DET.*""] [lemma_lc=""main""] context [lemma=""pouvoir""] (-5..5,-KWIC) context [lemma=""compter""] (-5..5,-KWIC)";1;52;fr;i;intellectual_technical_achievements;culture;writing_reading;1016;0.09;11444973582;verb_idiom;Vol_II;‘it is a very small number, there are surprisingly few of certain things’;“one can count them on the fingers of one hand”,
i09fr;i09;réinventer la roue;"[lemma_lc=""le""] [lemma_lc=""roue""] context [lemma=""réinventer""] (-5..5,-KWIC)";0;NA;fr;i;intellectual_technical_achievements;culture;inventions;2924;0.26;11444973582;verb_idiom;Vol_II;"‘to waste time and effort in creating something that already exists orredoing work when it has already been done satisfactorily; to rethink an already working system, method, etc. that has long been accepted and even taken for granted’";
i16fr;i16;donner le feu vert à qqn.;"[lemma_lc=""le""] [lemma_lc=""feu""] [lemma_lc=""vert""] context [lemma=""donner""] (-5..5,-KWIC)";1;59;fr;i;intellectual_technical_achievements;culture;inventions;5859;0.51;11444973582;verb_idiom;Vol_II;‘to encourage or allow someone to proceed, to give someone permission to do something that they were planning to do or have asked to do’;“to give the green traffic ligh to sb.”
i18fr;i18;être sur la même longueur d’onde (avec qqn.);"[lemma_lc=""sur""] [lemma_lc=""le""] [lemma_lc=""même""] [lemma_lc=""longueur""] [lemma_lc=""de""] [lemma_lc=""onde""] context [lemma=""être""] (-5..5,-KWIC)";0;NA;fr;i;intellectual_technical_achievements;culture;inventions;6008;0.52;11444973582;verb_idiom;Vol_II;"‘to have similar ideas, interests, and opinions (to another person’s); to understand each other very well’";“to give the green traffic ligh to sb.”, allow for Kwic -+ 5 because there were two verbs in German. 
k04fr;k04;le diable se cache dans le détail;"[tag=""PRP:det"" | lemma=""dans""] [tag=""DET.*""] [lemma_lc=""détail""] context [lemma=""diable""] (-5..5,-KWIC)";0;NA;fr;k;special_concepts_world;culture;folk_belief;973;0.09;11444973582;sentence_idiom;Vol_II;‘something looks easy to do but to carry it out proves much more difficultdue to small details that are overlooked and can cause serious problems’;"leave out verb ""cacher"" as it is not as fixed in this expression"
k10fr;k10;l'ironie du sort;"[lemma_lc=""ironie""] [tag=""PRP:det""] [lemma_lc=""sort""]";0;NA;fr;k;special_concepts_world;culture;folk_belief;8181;0.71;11444973582;noun_idiom;Vol_II;‘a paradoxical constellation that looks as if fate would be involved, a disastrous surprise without clear human intervention (said whensomething is surprisingly different than planned, when the opposite of what one had hoped for occurs)’;
k13fr;k13;une journée noire;"[tag=""DET.*""] [lemma_lc=""journée""] [lemma_lc=""noir""]";1;60;fr;k;special_concepts_world;culture;folk_belief;436;0.04;11444973582;noun_idiom;Vol_II;‘a day full of failures or disasters, when something very sad or unpleasant happens’;
k20fr;k20;jusqu’au dernier souffle;"[lemma_lc=""jusque""] [tag=""PRP:det.*""] [lemma_lc=""dernier""] [lemma_lc=""souffle""]";1;53;fr;k;special_concepts_world;culture;birth_and_death;828;0.07;11444973582;adverbial_idiom;Vol_II;‘to the utmost, until the very end’;
k21fr;k21;creuser sa (propre) tombe/fosse;"[tag=""DET.POS.*""] [lemma_lc=""propre""]? [lemma_lc=""tombe|fosse""] context [lemma=""creuser""] (-5..5,-KWIC)";1;61;fr;k;special_concepts_world;culture;birth_and_death;2404;0.21;11444973582;verb_idiom;Vol_II;‘to put oneself in a difficult situation by doing something wrong or making foolish mistakes, to bring about one’s own ruin or downfall and seriously harm oneself’;
k23fr;k23;se retourner dans sa tombe/ il se retournerait dans sa tombe;"[tag=""(NOM|NAM)"" | tag=""DET:POS""] [lemma_lc=""tombe""] context [lemma=""se""] (-5..5,-KWIC) context [lemma=""retourner""] (-5..5,-KWIC) context [lemma=""dans""] (-5..5,-KWIC)";1;57;fr;k;special_concepts_world;culture;birth_and_death;3970;0.35;11444973582;sentence_idiom;Vol_II;‘someone (a dead person) would be very angry or upset about something which is happening now, if they were still alive to experience it’;
m03fr;m03;le revers de la médaille;"[tag=""DET.*""] [lemma_lc=""revers""] [lemma_lc=""de""] [lemma_lc=""le""] [lemma_lc=""médaille""]";1;55;fr;m;material_culture_money_living;culture;money_trade_commerce;4029;0.35;11444973582;noun_idiom;Vol_II;"‘a completely different and perhaps contradictory aspect or attitude of a subject or situation; one of two differing views, showing the disadvantages of something that is actually advantageous’";
m04fr;m04;à tout prix;"[lc=""à""] [lc=""tout""] [lc=""prix""]";0;NA;fr;m;material_culture_money_living;culture;money_trade_commerce;88571;7.74;11444973582;adverbial_idiom;Vol_II;‘under all circumstances, at any rate, regardless of the costs and other disadvantages’;
m13fr;m13;mettre tous ses/les oeufs dans le même panier;"[lemma_lc=""tout""] [tag=""DET:POS""] [lemma_lc=""œuf""] [lemma=""dans""] [lemma_lc=""le""] [lemma=""même""] [lemma_lc=""panier""] context [lemma=""mettre""] (-5..5,-KWIC)";0;NA;fr;m;material_culture_money_living;culture;food_clothing_housing;1397;0.12;11444973582;verb_idiom;Vol_II;‘to stake everything on one chance, to invest all one’s money, effort, trust, etc. in one thing, without dispersing one’s risks, so that if it is not successful, one has no other chance’;ti have a score to settle with someone 
m20fr;m20;perdre le fil (de ses pensées);"[tag=""DET.*""] [lemma_lc=""fil""] [lemma_lc=""de""]? [tag=""DET.*""]? [lemma_lc=""pensée""]? context [lemma=""perdre""] (-5..5,-KWIC) Hide sub-hits ";1;52;fr;m;material_culture_money_living;culture;food_clothing_housing;8400;0.73;11444973582;verb_idiom;Vol_II;‘to get confused or forget what one wants to say, especially if it is long and complicated, to lose the train of thought’;
m21fr;m21;parler à un mur;"[lemma_lc=""à""] [tag=""DET.*""] [lemma_lc=""mur""] context [lemma=""parler""] (-5..5,-KWIC)";0;NA;fr;m;material_culture_money_living;culture;food_clothing_housing;654;0.06;11444973582;verb_idiom;Vol_II;to unsuccessfully try to persuade or reason with someone’;
n01fr;n01;(être pris) entre deux feux;"[lemma_lc=""entre""] [lemma_lc=""deux""] [lemma_lc=""feu""]";1;51;fr;n;forces_of_nature;natural_phenomena;natural_forces_and_weather;2493;0.22;11444973582;verb_idiom;Vol_II;"‘to be confronted by two equally threatening dangers, pressed from two sides simultaneously; to have a dilemma, to be involved in a conflict without the possibility of choosing one of two sides’";
n03fr;n03;maintenir/garder la tête hors de l’eau;"[tag=""DET.*""] [lemma_lc=""tête""] [lemma_lc=""hors""] [lemma_lc=""de""] [tag=""DET.*""] [lemma_lc=""eau""] context [lemma=""maintenir|garder""] (-5..5,-KWIC)";1;48;fr;n;forces_of_nature;natural_phenomena;natural_forces_and_weather;1547;0.14;11444973582;verb_idiom;Vol_II;"‘to stay out of trouble, especially out of financial difficulties, to keep away from insolvency; to efficiently fight for survival, to avoid being overwhelmed by one’s tasks or commitments’";
n08fr;n08;comme un coup de tonnerre (dans un ciel serein);"[lemma_lc=""comme""] [tag=""DET.*""] [lemma_lc=""coup""] [lemma_lc=""de""] [lemma_lc=""tonnerre""] [lemma_lc=""dans""]? [tag=""DET.*""]? [lemma_lc=""ciel""]? [lemma_lc=""serein""]? Hide sub-hits ";1;54;fr;n;forces_of_nature;natural_phenomena;natural_forces_and_weather;863;0.08;11444973582;adverbial_idiom;Vol_II;‘completely surprising, without warning or preparation, totally unexpectedly (especially of negative events, shattering news, etc.)’;"“like a thunderclap (in a clear sky)"""
n11fr;n11;la calme avant la tempête;"[lemma_lc=""calme""] [lemma_lc=""avant""] [lemma_lc=""le""] [lemma=""tempête""]";1;54;fr;n;forces_of_nature;natural_phenomena;natural_forces_and_weather;1840;0.16;11444973582;noun_idiom;Vol_II;‘a peaceful and quiet period before a period of trouble or activity’;
n18fr;n18;sortir de terre/pousser comme un champignon/comme des champignons ;"[lemma_lc=""de""]? [lemma_lc=""terre""]? [lemma_lc=""comme""] [tag=""DET.*""] [lemma_lc=""champignon""] context [lemma=""sortir|pousser""] (-5..5,-KWIC) Hide sub-hits ";1;48;fr;n;forces_of_nature;natural_phenomena;plants_animals_animal_behaviour;381;0.03;11444973582;verb_idiom;Vol_II;"to grow rapidly; to suddenly come into existence in great numbers’"; “to come out of earth/to sprout like a mushroom/like mushrooms”
n26fr;n26;mourir/crever/tomber comme des mouches;"[lemma_lc=""comme""] [tag=""DET.*"" | lc=""des""] [lemma_lc=""mouche""] context [lemma=""mourir|crever|tomber""] (-5..5,-KWIC)";1;48;fr;n;forces_of_nature;natural_phenomena;plants_animals_animal_behaviour;2306;0.2;11444973582;verb_idiom;Vol_II;‘to rapidly collapse, die, or drop out in great numbers within a short period of time, usually for the same reason (referring to a group rather than an individual)’;
o01fr;o01;tuer le temps;"[lemma_lc=""tuer""] [tag=""DET.*""] [lemma_lc=""temps""]";1;57;fr;o;time_space;natural_phenomena;time_day_and_hour;4700;0.41;11444973582;verb_idiom;Vol_II;‘to spend one’s time aimlessly, with useless, unimportant activities while one is waiting for time to pass, in order to escape boredom’;
o04fr;o04;maintenant ou jamais;"[lemma_lc=""maintenant""] [lemma_lc=""ou""] [lemma_lc=""jamais""]";1;53;fr;o;time_space;natural_phenomena;time_day_and_hour;2346;0.2;11444973582;adverbial_idiom;Vol_II;"‘(used as exclamation to express urgency): let us seize on the opportunity now; it must be done now or not at all’";
o11fr;o11;ses jours sont comptés / les jours de qqn. sont comptés;"[lc=""jours""] [lemma_lc=""de""]? []? []? []? [lemma_lc=""être""] [lemma_lc=""compter""] Hide sub-hits ";1;55;fr;o;time_space;natural_phenomena;time_day_and_hour;3078;0.27;11444973582;sentence_idiom;Vol_II;"‘someone will not stay alive for very long, is approaching the end of his/her life or existence; someone will not survive or remain in a particular position for much longer’";
o12fr;o12;la dernière heure de qqn. est venue/est arrivée/a sonné;"[tag=""DET.*""] [lemma_lc=""dernier""] [lemma_lc=""heure""] context [lemma=""venir|arriver|sonner""] (-5..5,-KWIC)";1;52;fr;o;time_space;natural_phenomena;time_day_and_hour;1736;0.15;11444973582;sentence_idiom;Vol_II;"‘someone’s death is very close; someone must die’";
o13fr;o13;aller son propre chemin / suivre son propre chemin;"[tag=""DET:POS""] [lemma_lc=""propre""] [lemma_lc=""chemin""] filter [lemma_lc=""aller|suivre""] (-1:s..1:s,+KWIC)";1;52;fr;o;time_space;natural_phenomena;spatial_extent_distance_resistance ;1301;0.11;11444973582;verb_idiom;Vol_II;"‘to become completely independent and self-reliant; to follow one’s inclinations, especially differing from what others are doing’";"Only use context ""2"" because ""aller"" is a frequent verb."
o20fr;o20;claquer/fermer la porte au nez de/à qqn.;"[lemma_lc=""le""] [lemma_lc=""porte""] [tag=""PRP:det""] [lemma_lc=""nez""] [lemma_lc=""de"" | tag=""PRP:det"" | lemma_lc=""à""] context [lemma=""fermer|claquer""] (-5..5,-KWIC)";1;53;fr;o;time_space;natural_phenomena;spatial_extent_distance_resistance ;511;0.04;11444973582;verb_idiom;Vol_II;‘to reject someone harshly, to refuse to talk to someone and terminate any further negotiations’;
